salt_names,side_effects
Dosulepin ,"Increased heart rate, Constipation, Orthostatic hypotension (sudden lowering of blood pressure on standing), Blurred vision, Difficulty in urination, Dryness in mouth, Drowsiness, Weight gain"
Doxapram ,"Chest tightness, Vomiting, Nausea, Dizziness, Slow heart rate, Injection site reactions (pain, swelling, High blood pressure, Seizure, redness), Headache, Breathlessness, Salivation, Cough"
Doxofylline ,"Increased heart rate, Flu-like symptoms, Vomiting, Nausea, Insomnia (difficulty in sleeping), Itching, Upset stomach, Irritation, Stomach pain/epigastric pain, Rash, Restlessness, Allergic reaction, Drowsiness, Headache, Heartburn"
Doxorubicin ,"Eye disorder, Arrhythmia (irregular heartbeats), Fatigue, Loss of appetite, Nail disorder, Painful blisters on hands and feet, Increased thirst, Mouth sore, Vomiting, Nausea, Constipation, Hair loss, Stomach pain, Stomatitis (Inflammation of the mouth), Diarrhea, Low blood platelets, Anemia (low number of red blood cells), Allergic reaction, Decreased white blood cell count (neutrophils), Fever, Rash, Weakness"
Doxycycline ,"Vomiting, Nausea, Photosensitivity, Stomach pain, Injection site reactions (pain, swelling, Diarrhea, redness)"
Doxylamine ,"Drowsiness, Constipation, Lightheadedness, Dryness in mouth"
Drotaverine ,"Vomiting, Nausea, Dizziness, Stomach pain, Vertigo, Loss of appetite, Feeling thirsty, Dryness in mouth, Diarrhea, Increased liver enzymes, Heartburn"
Duloxetine ,"Nausea, Dizziness, Dryness in mouth, Sleepiness, Headache"
Dutasteride ,"Low sexual desire, Allergic reaction, Decreased sperm count, Impotence"
Dydrogesterone ,"Nausea, Headache, Breast pain"
Eberconazole ,"irritation, itching and redness), Application site reactions (burning"
Edaravone ,"Bruise, Injection site reactions (pain, swelling, Walking difficulties, Headache, redness)"
Efavirenz ,"Increased triglyceride level in blood, Agranulocytosis (deficiency of granulocytes in the blood), Vomiting, Dizziness, Insomnia (difficulty in sleeping), Nausea, Fatigue, Anxiety, Fever, Itching, Allergic reaction, Rash, Sleepiness, Headache, Increased liver enzymes, Difficulty in paying attention, Abnormal dreams"
Eletriptan ,"ears, Dizziness, Jaw pain, Nausea, Heaviness, Throat pain, Dryness in mouth, neck and trunk), Sleepiness, Flushing (sense of warmth in the face, Neck pain, Weakness"
Eltrombopag ,"Muscle pain, Vomiting, Nausea, Upper respiratory tract infection, Diarrhea, Urinary tract infection, Increased liver enzymes"
Empagliflozin ,"Urinary tract infection, Nausea, Hypoglycemia (low blood glucose level), Frequent urge to urinate, Increased thirst"
Emtricitabine ,"Nightmare, Flatulence, Nausea, Depression, Dizziness, Insomnia (difficulty in sleeping), Fatigue, Rash, Drowsiness, Headache, Diarrhea"
Enalapril ,"Indigestion, Nausea, Dizziness, Taste change, Stomach pain, Decreased blood pressure, Glucose intolerance, Increased uric acid level in blood, Fatigue, Electrolyte imbalance, Increased potassium level in blood, Headache, Diarrhea, Weakness, Increased blood lipid level, Cough"
Enalaprilat ,"Fatigue, Dizziness, Decreased blood pressure, Cough, Increased potassium level in blood, Renal impairment, Weakness"
Enclomiphene ,"Metrorrhagia (menstrual bleeding at irregular intervals), Headache, Vomiting, Nausea, Breast discomfort, Bloating, Hot flashes, Enlarged Ovary"
Enoxaparin ,"Headache, Bleeding, Increased liver enzymes, Increased blood platelets"
Entecavir ,"Vomiting, Nausea, Fatigue, Stomach pain, Rash, Headache, Diarrhea"
Enzalutamide ,"Fatigue, Hot flashes, High blood pressure, Headache, Weakness"
Epalrestat ,"Vomiting, Nausea, Dizziness, Abnormal liver function, Tiredness, Uncoordinated body movements, Drowsiness, Diarrhea, Increased liver enzymes"
Eperisone ,"Muscle weakness, Vomiting, Dizziness, Fatigue, Nausea, Loss of appetite, Upset stomach, Stomach pain/epigastric pain, Sleepiness, Dryness in mouth, Headache, Diarrhea, Heartburn, Weakness"
Epinastine ,"Burning sensation in eye, Itching, Ocular hyperemia"
Epirubicin ,"Low energy, Eye disorder, Nausea, Absence of menstrual periods, Hair loss, Fever, Anemia (low number of red blood cells), Weight loss, Gastrointestinal inflammation, Hot flashes, Rash, Decreased white blood cell count (neutrophils), Diarrhea, Low blood platelets"
Equine Rabies Immunoglobulin ,"Nausea, Acute toxicity, Rash, Upset stomach"
Ergotamine ,"Nausea, Leg pain, Muscle pain, Vomiting"
Erlotinib ,"Muscle pain, Bone pain, Abdominal pain, Constipation, Fatigue, Fever, Nausea, Vomiting, Weight loss, Stomatitis (Inflammation of the mouth), Rash, Infection, Diarrhea, Breathlessness, Cough"
Ertapenem ,"Nausea, Headache, Diarrhea, Infusion site inflammation"
Erythromycin ,"Nausea, Diarrhea, Abdominal pain, Vomiting"
Escitalopram Oxalate ,"Increased sweating, Anorgasmia (decreased orgasm) in women, Fatigue, Insomnia (difficulty in sleeping), Nausea, Decreased libido, Sleepiness, Delayed ejaculation"
Esomeprazole ,"Flatulence, Dizziness, Nausea, Abdominal pain, Constipation, Dryness in mouth, Headache, Diarrhea"
Estradiol ,"Indigestion, Pain in extremity, ears, Breast pain, Vaginal spotting, Vomiting, Nausea, Flushing (sense of warmth in the face, Stomach pain, Bloating, Abdominal cramp, neck and trunk), Nosebleeds, Headache, Diarrhea"
Estriol ,"Vaginal irritation, Vaginal itching"
Etanercept ,"Itching, Upper respiratory tract infection, Allergic reaction, Rash, Injection site reaction"
Ethambutol ,"Visual impairment, Color blindness"
Ethamsylate ,"Vomiting, Nausea, Skin rash, Headache, Diarrhea"
Ethinyl Estradiol ,"Breast pain, Nausea, Stomach pain, Irregular uterine bleeding, Headache, Weight gain"
Etizolam ,"Tremor, Memory impairment, Low sexual desire, Muscle coordination impaired, Fainting, Vomiting, Tiredness, Depression, Nausea, Visual impairment, Altered libido, Drowsiness, Confusion, Diarrhea, Anorgasmia (decreased orgasm), Muscle weakness, Cold extremities, Uncoordinated body movements, Headache, Slow heart rate, Nightmare, Slurred speech, Delayed ejaculation, Sedation"
Etofylline ,"Nausea, Headache, Restlessness, Vomiting"
Etomidate ,"Muscle pain, Fatigue, Fever, Headache, Weakness"
Etoposide ,"white cells, Decreased white blood cell count, Decreased blood cells (red cells, Nausea, Hair loss, Vomiting, Anemia (low number of red blood cells), Stomatitis (Inflammation of the mouth), Rash, Liver damage, and platelets), Diarrhea, Low blood platelets"
Etoricoxib ,"Indigestion, Flu-like symptoms, Feet swelling, Flatulence, Stomach pain, Swelling of hands, Diarrhea"
Evening Primrose Oil ,"Nausea, Upset stomach, Bloating, Headache, Diarrhea"
Exemestane ,"Increased sweating, Nausea, Insomnia (difficulty in sleeping), muscle or joint) pain, Fatigue, Headache, Musculoskeletal (bone"
Ezetimibe ,"Diarrhea, Joint pain, Sinus inflammation, Respiratory tract infection"
Famciclovir ,"Vomiting, Dizziness, Nausea, Fatigue, Fever, Stomach pain, Skin rash, Headache, Diarrhea"
Famotidine ,"Dizziness, Headache, Diarrhea, Constipation"
Faropenem ,"Nausea, Diarrhea, Abdominal pain, Rash"
Febuxostat ,"Nausea, Skin rash, Gout flares, Headache, Diarrhea, Increased liver enzymes"
Fenfluramine ,"Increased heart rate, Dizziness, Insomnia (difficulty in sleeping), Nausea, Constipation, Loss of appetite, High blood pressure, Dryness in mouth"
Fentanyl ,"Vomiting, Dizziness, Nausea, Constipation, Sleepiness, Headache"
Fenticonazole ,"Irritation, Itching, Vaginal burning sensation"
Ferric Carboxymaltose ,"Vomiting, Dizziness, Nausea, Injection site reactions (pain, swelling, Dark colored stool, High blood pressure, Headache, redness)"
Ferrous Ascorbate ,"Nausea, Upset stomach, Vomiting"
Fexofenadine ,"Vomiting, Nausea, Dizziness, Tiredness, Allergic reaction, Dryness in mouth, Drowsiness, Headache"
Filgrastim ,"Bone pain, Nausea, Vomiting, Oropharyngeal pain, Hair loss, Fatigue, Constipation, Increased uric acid level in blood, Cough, Increased lactate dehydrogenase level in blood, Rash, Breathing problems, Headache, Diarrhea, Decreased appetite, Weakness"
Finasteride ,"Erectile dysfunction, Ejaculation disorder, Decreased libido"
Flavoxate ,"Sweating, Vomiting, Nausea, Dizziness, Nervousness, Blurred vision, Dryness in mouth, Drowsiness, Headache"
Fluconazole ,"Indigestion, Vomiting, Nausea, Dizziness, Stomach pain, Taste change, Swelling of lymph nodes, Itching, Loss of appetite, Rash, Dryness in mouth, Metallic taste, Headache, Diarrhea, Vaginal itching, Vaginal infection"
Fludrocortisone ,"Altered blood sugar level, Bone disorder, Thinning of skin, Behavioural changes, Upset stomach, Weight gain, Mood changes"
Flumazenil ,"Anxiety, Allergic reaction, Insomnia (difficulty in sleeping), Sleepiness"
Flunarizine ,"Breast pain, Muscle pain, Increased appetite, Fatigue, Constipation, Nausea, Insomnia (difficulty in sleeping), Depression, Stomach discomfort, Sleepiness, Weight gain, Runny nose"
Fluocinolone acetonide ,"irritation, itching and redness), Application site reactions (burning"
Fluorescein ,No common side effects seen
Fluorometholone ,"Eye irritation, Watery eyes, Burning sensation"
Fluorouracil ,"Increased risk of infection, white cells, Vomiting, Nausea, Decreased blood cells (red cells, Hair loss, itching and redness), irritation, Loss of appetite, Application site reactions (burning, and platelets), Diarrhea, Blisters on fingers/feet, Mouth ulcer, Weakness"
Fluoxetine ,"Indigestion, Tremor, Sore throat, Orthostatic hypotension (sudden lowering of blood pressure on standing), Loss of appetite, Low sexual desire, Muscle stiffness, Sinus infection, Dryness in mouth, Yawning, Influenza like syndrome, Sweating, Nausea, Vomiting, Constipation, Sleepiness, Diarrhea, Weight gain, Abnormal dreams, Anorgasmia (decreased orgasm), Dizziness, Erectile dysfunction, Restlessness, Nervousness, Insomnia (difficulty in sleeping), Delayed ejaculation, Weakness"
Flupenthixol ,"Increased heart rate, Increased prolactin level in blood, Tremor, Constipation, Urinary retention, Orthostatic hypotension (sudden lowering of blood pressure on standing), Injection site reactions (pain, Blurred vision, swelling, Muscle stiffness, Sleepiness, Dryness in mouth, Restlessness, redness), Weight gain, Abnormality of voluntary movements"
Flurbiprofen ,"Eye discomfort, Burning sensation"
Fluticasone Furoate ,"Nosebleeds, Headache, Nasal inflammation"
Fluticasone Propionate ,"Nasal irritation, itching and redness), Taste change, irritation, Application site reactions (burning, Nosebleeds, Headache"
Folic Acid ,"Flatulence, Vomiting, Nausea, Weight loss, No common side effects seen, Abdominal distension"
Formoterol ,"Increased heart rate, Fungal infection of mouth, Hoarseness of voice, Vomiting, Nausea, muscle or joint) pain, Sore throat, Respiratory tract infection, Headache, Musculoskeletal (bone, Cough"
Fosfestrol ,"Abdominal pain, Breast enlargement, Jaundice, Fever"
Fosfomycin ,"Indigestion, Dizziness, Stomach pain, Injection site reactions (pain, swelling, Vaginal inflammation, Headache, redness)"
Framycetin ,"irritation, itching and redness), Application site reactions (burning"
Fructo Oligosaccharide ,"Bloating, Flatulence"
Fusidic Acid ,"irritation, itching and redness), Application site reactions (burning"
Gabapentin ,"Increased heart rate, Fatigue, Orthostatic hypotension (sudden lowering of blood pressure on standing), Difficulty in urination, Dryness in mouth, Vomiting, Tiredness, Constipation, Nausea, Impaired coordination, Sleepiness, Weight gain, Viral infection, Dizziness, Uncoordinated body movements, Fever, Peripheral edema, Blurred vision, Nystagmus (involuntary eye movement)"
Ganciclovir ,"Eye irritation, Vomiting, Dizziness, Nausea, Fatigue, Fever, Stomach pain, Skin rash, Headache, Diarrhea"
Ganirelix ,"Ovarian hyperstimulation syndrome, Nausea, Abdominal pain, Injection site reaction, Headache, Vaginal bleeding"
Garenoxacin ,"Nausea, Diarrhea, Stomach pain"
Gatifloxacin ,"Eye irritation, Corneal inflammation, Watery eyes, Eye redness"
Gefitinib ,"Vomiting, Nausea, Loss of appetite, Dry skin, Stomatitis (Inflammation of the mouth), Rash, Diarrhea, Weakness"
Gentamicin ,"Eye irritation, Injection site pain, Burning sensation, Application site irritation, Hearing loss, Kidney damage, Eye discomfort, Balance disorder (loss of balance)"
Ginkgo Biloba ,"Bleeding disorder, ears, Headache, Hypersensitivity, Nervousness, Dizziness, Palpitations, Upset stomach, Rash, neck and trunk), Abnormality of voluntary movements, Flushing (sense of warmth in the face, Gastrointestinal discomfort, Weight gain"
Gliclazide ,"Indigestion, Headache, Nausea, Taste change, Stomach pain, Upset stomach, Upper respiratory tract infection, Hypoglycemia (low blood glucose level), Diarrhea"
Glimepiride ,"Headache, Flatulence, Nausea, Dizziness, Taste change, Stomach pain, Respiratory tract infection, Upper respiratory tract infection, Skin rash, Hypoglycemia (low blood glucose level), Diarrhea"
Glipizide ,"Headache, Nausea, Taste change, Stomach pain, Upper respiratory tract infection, Hypoglycemia (low blood glucose level), Diarrhea"
Glucagon ,Nausea
Glucosamine ,"Indigestion, Urine discoloration, Nausea, Constipation, Upset stomach, Diarrhea, Heartburn"
Glucosamine Sulfate Potassium Chloride ,No common side effects seen
Glutamate ,"Back pain, Headache, Hives, Dizziness, Blood in urine, Cold extremities, Fever, Lightheadedness, Itching, Changes in skin color, Difficulty in urination, Difficulty in swallowing, Chills, Confusion, Fainting, Frequent urge to urinate, Slow heart rate, Cough"
Glutathione ,"redness), Injection site reactions (pain, swelling, No common side effects seen"
Glycerin ,No common side effects seen
Glycine ,"Vomiting, Nausea, Upset stomach, No common side effects seen, Drowsiness"
Glycopyrrolate ,"ears, Vomiting, Sore throat, Dizziness, Constipation, Palpitations, Arrhythmia (irregular heartbeats), Blurred vision, Upper respiratory tract infection, Dilatation of pupil, Allergic reaction, Nasal congestion (stuffy nose), Dryness in mouth, neck and trunk), Urinary incontinence, Flushing (sense of warmth in the face, Reduced sweating, Runny nose"
Goserelin acetate ,"Increased sweating, Decreased libido"
Granisetron ,"Injection site pain, Constipation, Sleepiness, Headache, Diarrhea, Weakness"
Granulocyte Colony Stimulating Factor ,"Bone pain, Fatigue, Increased lactate dehydrogenase level in blood, Increased white blood cell count, Increased liver enzymes, Muscle pain, Nausea, Constipation, Hair loss, Diarrhea, Low blood platelets, Decreased appetite, Injection site pain, Increased uric acid level in blood, Headache, Pain in extremity, Joint pain, Back pain, Oropharyngeal pain, Rash, Weakness"
Griseofulvin ,"Nausea, Dizziness, Skin rash, Headache, Diarrhea"
Guaifenesin ,"Indigestion, Increased heart rate, Tremor, Hives, Fatigue, Loss of appetite, Stomach pain/epigastric pain, Skin rash, Dryness in mouth, Sweating, Vomiting, Nausea, Stomach pain, Impaired coordination, Sleepiness, Diarrhea, Thickened respiratory tract secretions, Dizziness, Upset stomach, Bloating, Allergic reaction, Headache, Rash"
Guerin strain ,"Urinary tract infection, Fever, Difficulty in urination"
HUMAN PREMIX ,"Lipodystrophy (skin thickening or pits at the injection site), Injection site allergic reaction, Itching, Rash, Hypoglycemia (low blood glucose level)"
Haemophilus Influenzae Type B Capsular Polysaccharide ,"Fever, Tenderness, Injection site pain"
Haemophilus Type B Conjugate Vaccine ,"Vomiting, Injection site reactions (pain, swelling, Loss of appetite, Diarrhea, redness)"
Halobetasol ,"itching and redness), Thinning of skin, irritation, Dry skin, Application site reactions (burning"
Haloperidol ,"Insomnia (difficulty in sleeping), Muscle spasm, Agitation, Extrapyramidal symptoms, Headache"
Haloperidol Decanoate ,"Increased prolactin level in blood, Tremor, Constipation, Urinary retention, Orthostatic hypotension (sudden lowering of blood pressure on standing), Muscle stiffness, Dryness in mouth, Sleepiness, Abnormality of voluntary movements, Weight gain"
Halothane ,"Shivering, Vomiting, Nausea, Arrhythmia (irregular heartbeats), Decreased blood pressure, High grade fever"
Hemocoagulase ,"redness), Injection site reactions (pain, swelling, No common side effects seen"
Heparin ,"Bleeding, Erythema (skin redness), Skin rash"
Hepatitis B Vaccine ,"Blocked nose, Fatigue, Loss of appetite, Muscle pain, Vomiting, Nausea, Meningitis, Feeling of discomfort, Pain, Diarrhea, Convulsion, Erythema (skin redness), Dizziness, Itching, Headache, Anaphylactic reaction, Neuropathy, Abdominal pain, Decreased blood pressure, Fever, Paralysis, Irritation, Rash, Angioedema (swelling of deeper layers of skin), Weakness"
Histidine Hydrochloride ,No common side effects seen
Homatropine ,"Eye irritation, Stinging sensation"
Human Gamma Globulin ,"Injection site tenderness, Injection site pain, Vomiting, Nausea, Skin eruptions, Lightheadedness, Allergic reaction, Headache"
Human Hepatitis B Immunoglobulin ,"ears, Gastrointestinal disturbance, Dizziness, Injection site reactions (pain, swelling, neck and trunk), Flushing (sense of warmth in the face, Headache, redness)"
Human Normal Immunoglobulin ,"Wheezing, Back pain, ears, Muscle pain, Dizziness, Nausea, Decreased blood pressure, neck and trunk), Chills, Flushing (sense of warmth in the face, Headache, Slow heart rate"
Human Papillomavirus Bivalent ,"Injection site redness, Joint pain, Muscle pain, Injection site pain, Tiredness, Upset stomach, Headache"
Human Papillomavirus Quadrivalent ,"Dizziness, Nausea, Fever, Injection site reactions (pain, swelling, Headache, redness)"
Human Rabies Immunoglobulin ,"Injection site stiffness, Nephrotic syndrome, Pain, Soreness, Angioedema (swelling of deeper layers of skin), Tenderness, Anaphylactic reaction"
Human chorionic gonadotropin ,"Injection site pain, Fatigue, Depression, Irritation, Restlessness, Headache"
Human insulin ,"Hypoglycemia (low blood glucose level), Injection site allergic reaction"
Hyaluronic Acid ,"Eye irritation, Limited data available"
Hyaluronidase ,"Hormone imbalance, Hives, Dizziness, Allergic reaction, Edema (swelling), Injection site reaction, Slow growth in children and teenagers, Angioedema (swelling of deeper layers of skin)"
Hydrocortisone ,"Application site redness, itching and redness), Dizziness, Injection site reactions (pain, irritation, Itching, swelling, Rash, Application site reactions (burning, Headache, Ankle swelling, redness), Mood changes, Weakness"
Hydroxocobalamin ,"ears, Erythema (skin redness), Allergy, Dark colored urine, neck and trunk), Flushing (sense of warmth in the face, Anaphylactic reaction"
Hydroxyethyl Starch,"redness), Injection site reactions (pain, swelling"
Hydroxyprogesterone ,"Hives, Nausea, Injection site reactions (pain, Nodules, Itching, swelling, Diarrhea, redness)"
Hydroxypropylmethylcellulose ,"Eye irritation, Foreign body sensation in eyes, Blurred vision, Eye pain, No common side effects seen, Eye redness"
Hydroxyquinolines ,"Vomiting, Nausea, Dizziness, Hair loss, Fever, Abdominal pain, Abnormal liver function tests, Vertigo, Headache"
Hydroxyurea ,"Vomiting, Nausea, Loss of appetite, Increased bleeding tendency, Upset stomach, Low blood platelets"
Hydroxyzine ,"Vomiting, Nausea, Constipation, Loss of appetite, Upset stomach, Diarrhea, Sedation"
Hyoscine butylbromide ,"Increased heart rate, Vomiting, Nausea, Constipation, Blurred vision, Dilatation of pupil, Dryness in mouth, Diarrhea, Slow heart rate, Heartburn"
Hyoscyamine ,"ears, Flushing (sense of warmth in the face, Dizziness, Constipation, Lightheadedness, Blurred vision, Difficulty in urination, Dryness in mouth, neck and trunk), Drowsiness, Headache, Increased sensitivity to light"
Ibandronic Acid ,"muscle or joint) pain, Musculoskeletal (bone, Headache, Diarrhea, Heartburn"
Ibuprofen ,"Indigestion, Vomiting, Nausea, Dizziness, Stomach pain, Sleepiness, Heartburn, Weakness"
Idarubicin ,"Peripheral neuropathy (tingling and numbness of feet and hand), Vomiting, Nausea, Myelosuppression, Hair loss, Fever, Stomatitis (Inflammation of the mouth), Bleeding, Seizure, Infection, Increased liver enzymes"
Idebenone ,"Diarrhea, Nasopharyngitis (inflammation of the throat and nasal passages), Back pain, Cough"
Ifosfamide ,"CNS toxicity, Decreased white blood cell count, Nausea, Vomiting, Hair loss, Blood in urine, Anemia (low number of red blood cells), Infection"
Iguratimod ,Limited data available
Imatinib mesylate ,"Vomiting, Abdominal pain, Fatigue, muscle or joint) pain, Nausea, Rash, Musculoskeletal (bone, Diarrhea, Muscle cramp"
Imipenem ,"Nausea, Diarrhea, Rash, Vomiting"
Imipramine ,"Increased heart rate, Constipation, Orthostatic hypotension (sudden lowering of blood pressure on standing), Blurred vision, Difficulty in urination, Dryness in mouth"
Imiquimod ,"Induration (hardening of a normally soft tissue or organ), Skin flakes, itching and redness), Skin ulcer, irritation, Dry skin, Edema (swelling), Application site reactions (burning"
Inactivated Japanese Encephalitis virus protein ,"Muscle pain, Fatigue, Nausea, Injection site reactions (pain, Fever, swelling, Headache, redness)"
Inactivated influenza vaccine ,"Injection site allergic reaction, Injection site reactions (pain, swelling, Headache, redness), Weakness"
Indacaterol ,"Indigestion, Inflammation of the nose, Increased glucose level in blood, Sore throat, Urinary retention, Dizziness, Fever, High blood pressure, Allergic reaction, Headache, Sinus inflammation, Urinary tract infection, Nasopharyngitis (inflammation of the throat and nasal passages), Chest pain, Cough"
Indomethacin ,"Indigestion, Vomiting, Nausea, Loss of appetite, Stomach pain/epigastric pain, Diarrhea, Heartburn"
Infliximab ,"Abdominal pain, Sore throat, Upper respiratory tract infection, Infusion reaction, Headache, Sinus inflammation"
Inositol ,"Nausea, Fatigue, Insomnia (difficulty in sleeping), Dizziness"
Insulin Aspart ,"Lipodystrophy (skin thickening or pits at the injection site), Hypoglycemia (low blood glucose level), Injection site allergic reaction, Weight gain"
Insulin Aspart  ,"Lipodystrophy (skin thickening or pits at the injection site), Injection site allergic reaction, Itching, Rash, Hypoglycemia (low blood glucose level), Weight gain"
Insulin Degludec ,"Lipodystrophy (skin thickening or pits at the injection site), Injection site allergic reaction, Itching, Rash, Edema (swelling), Hypoglycemia (low blood glucose level), Weight gain"
Insulin Glargine ,"Lipodystrophy (skin thickening or pits at the injection site), Hypoglycemia (low blood glucose level), Injection site allergic reaction"
Insulin Glulisine ,"Lipodystrophy (skin thickening or pits at the injection site), Injection site reactions (pain, swelling, Itching, Allergic reaction, Rash, Hypoglycemia (low blood glucose level), redness)"
Insulin Isophane ,"Lipodystrophy (skin thickening or pits at the injection site), Injection site allergic reaction, Edema (swelling), Hypoglycemia (low blood glucose level), Weight gain"
Insulin Lispro ,"Lipodystrophy (skin thickening or pits at the injection site), Injection site allergic reaction, Itching, Allergic reaction, Rash, Hypoglycemia (low blood glucose level)"
Insulin detemir ,"Lipodystrophy (skin thickening or pits at the injection site), Hypoglycemia (low blood glucose level), Injection site allergic reaction"
Invert Sugar ,"Weight gain, Increased glucose level in blood"
Iohexol ,"Nausea, Diarrhea, Vomiting"
Iopamidol ,"Nausea, Injection site reactions (pain, swelling, Hot flashes, redness)"
Iopromide ,"Abnormal vision, Back pain, Vomiting, Nausea, Taste change, Vasodilation, Injection site reactions (pain, swelling, redness), Headache, Frequent urge to urinate, Chest pain"
Iron ,"Vomiting, Nausea, Constipation, Injection site reactions (pain, swelling, Dark colored stool, Diarrhea, redness)"
Iron Isomaltoside ,"Vomiting, Nausea, Constipation, Dark colored stool, Diarrhea"
Iron Sucrose ,"Nausea, Taste change, Injection site reactions (pain, swelling, Decreased blood pressure, High blood pressure, redness)"
Isoflurane ,"Shivering, Irregular heartbeats, Vomiting, Nausea, Decreased blood pressure, High grade fever"
Isoleucine ,No common side effects seen
Isoniazid ,"Hepatitis (viral infection of liver), Increased sputum production, Sweating, Vomiting, Nausea, Peripheral neuropathy (tingling and numbness of feet and hand), Jaundice, Fever, Visual impairment, Increased uric acid level in blood, Watery eyes, Dark colored urine, Rash, Increased liver enzymes, Gout, Salivation"
Isopropamide ,"Nausea, Constipation, Dizziness, Orthostatic hypotension (sudden lowering of blood pressure on standing), Blurred vision, Difficulty in urination, Dryness in mouth, Sleepiness, Weight gain"
Isosorbide Dinitrate ,"Increased heart rate, Drug-induced lupus syndrome, ears, Feet swelling, Vomiting, Dizziness, Nausea, Decreased blood pressure, Lightheadedness, Orthostatic hypotension (sudden lowering of blood pressure on standing), Loss of appetite, Palpitations, Swelling of hands, neck and trunk), Flushing (sense of warmth in the face, Headache, Diarrhea, Chest pain"
Isosorbide Mononitrate ,"Indigestion, ears, Dizziness, Fatigue, Stomach pain, Orthostatic hypotension (sudden lowering of blood pressure on standing), Flushing of skin, Increased bleeding tendency, Upper respiratory tract infection, Itching, neck and trunk), Flushing (sense of warmth in the face, Headache, Diarrhea"
Isoxsuprine ,"Dizziness, Increased heart rate, Palpitations"
Ispaghula ,"Bloating, Abdominal distension"
Itolizumab ,"Fever, Itching, Infusion reaction, Upper respiratory tract infection"
Itopride ,"Stomach pain, Dryness in mouth, Sleepiness, Headache, Diarrhea"
Itraconazole ,"Nausea, Blurred vision, Menstrual disorder, Common cold, Cough"
Ivermectin ,"itching and redness), irritation, No common side effects seen, Application site reactions (burning"
Ivermectin  ,"Vomiting, Nausea, Dizziness, Swelling of lymph nodes, Loss of appetite, Itching, Diarrhea, Increased liver enzymes"
Kanamycin ,"Balance disorder (loss of balance), Hearing loss, Renal impairment, Injection site pain"
Ketamine ,"Nightmare, Erythema (skin redness), Abnormal behavior, Double vision, Vomiting, Nausea, Hallucination, Increased respiratory rate, Nystagmus (involuntary eye movement), Tachycardia, High blood pressure, Agitation, Rash, Muscle coordination impaired, Confusion, Tonic-clonic seizures"
Ketoconazole ,"Dryness, Hair discoloration, itching and redness), Blisters on skin, Nausea, Skin peeling, Stomach pain, irritation, Abnormal liver function, Dry skin, Application site reactions (burning, Headache, Abnormal hair texture"
Ketoprofen ,"Nausea, Indigestion, Heartburn, Vomiting"
Ketorolac ,"Indigestion, Eye inflammation, Burning sensation, Loss of appetite, Stomach pain/epigastric pain, Eye discomfort, Increased intraocular pressure, Vomiting, Nausea, Superficial keratitis, Injection site reactions (pain, swelling, Uveitis, Diarrhea, redness), Eye infection, Application site irritation, Eye pain, Headache, Eye irritation, Dry nose, Taste change, Burning sensation in eye, Blurred vision, Heartburn"
Ketotifen ,"Irritation, Hyperactivity, Sleep disturbance"
Lactitol ,"Flatulence, Stomach pain, Stomach cramp, Bloating, Cramps, Abdominal distension"
Lactobacillus ,Flatulence
Lactobacillus Sporogenes ,"Bloating, Flatulence"
Lactulose ,"Vomiting, Abdominal pain, Nausea, Application site irritation, Diarrhea"
Lafutidine ,"Muscle pain, Fatigue, Constipation, Increased uric acid level in blood, Protein in urine, Drowsiness, Headache, Diarrhea, Increased liver enzymes"
Lamivudine ,"Fatigue, Dryness in mouth, Peripheral neuropathy (tingling and numbness of feet and hand), Vomiting, Nausea, Depression, Stomach pain, Tiredness, Feeling of discomfort, Pain, Impaired concentration, Diarrhea, Cough, Abnormal dreams, Dizziness, Anemia (low number of red blood cells), Decreased white blood cell count (neutrophils), Headache, Insomnia (difficulty in sleeping), Fever, Muscle damage, Rash, Nasal congestion (stuffy nose), Weakness"
Lansoprazole ,"Nausea, Headache, Diarrhea, Flatulence"
Lanthanum Carbonate ,"Flatulence, Decreased calcium level in blood, Vomiting, Nausea, Abdominal pain, Constipation, Headache, Diarrhea"
Lapatinib ,"Fatigue, Loss of appetite, Vomiting, Nausea, Constipation, Hot flashes, Mucosal inflammation, Stomatitis (Inflammation of the mouth), Diarrhea, Weight gain, Cough, Increased bilirubin in the blood, Headache, Pain in extremity, Back pain, Joint pain, Abdominal pain, Insomnia (difficulty in sleeping), Breathing problems, Rash, Liver damage, Weakness"
Latanoprost ,"Eyelash changes, Eye itching, Burning sensation in eye, Itching, Stinging in the eyes, Eye pain, Foreign body sensation, Conjunctival hyperemia, Increased sensitivity to light"
Leflunomide ,"Nausea, Respiratory tract infection, Rash, Headache, Diarrhea, Increased liver enzymes"
Lenalidomide ,"Tremor, Fatigue, Loss of appetite, Dry skin, Decreased white blood cell count, Nausea, Anxiety, Blood clots, Constipation, Weight loss, Sleepiness, Confusion, Weight gain, Muscle weakness, Dizziness, Edema (swelling), Decreased white blood cell count (neutrophils), Headache, Neuropathy, Decreased calcium level in blood, Fever, Rash, Weakness"
Lenvatinib ,"Joint pain, Erythema (skin redness), Mouth sore, Hoarseness of voice, Muscle pain, Nausea, Tiredness, Skin peeling, Stomach pain, Peripheral edema, Itching, Vomiting, Weight loss, Bleeding, Rash, Decreased appetite, Cough"
Letrozole ,"Fatigue, Hot flashes, Increased sweating, Hypercholesterolemia (high cholesterol)"
Leucine ,No common side effects seen
